"model_id","reference_date","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"ISU_NiemiLab-GPE",2024-11-30,27.7170793563976,33.9521253420942,0.346153846153846,0.711538461538462,0.936594530473873,0.753398885906106,0.889240601548421,0.700372987049061
"ISU_NiemiLab-GPE",2024-12-07,80.6697824234443,116.156816953373,0.317307692307692,0.706730769230769,0.622707887102248,0.504011173001781,0.68728417765281,0.57064549029951
"ISU_NiemiLab-GPE",2024-12-14,180.614617726006,247.625892391326,0.317307692307692,0.615384615384615,0.852908008670053,0.686898068387367,0.928601115424886,0.795502157801179
"ISU_NiemiLab-GPE",2024-12-21,206.684503364571,253.87957804305,0.0641025641025641,0.358974358974359,0.926690753710142,0.703923957133652,0.885393079040324,0.746118141310197
"ISU_NiemiLab-GPE",2024-12-28,262.930879079935,309.167964938427,0.0480769230769231,0.173076923076923,1.01576960433839,0.807501525945995,0.949254734054203,0.843137613223276
"ISU_NiemiLab-GPE",2025-01-04,132.871165108507,178.25395281519,0.288461538461538,0.634615384615385,0.77383264418226,0.714095626520438,0.777900901329766,0.811398207437203
"JHUAPL-DMD",2024-11-30,62.7054114596833,106.068920598788,0.644230769230769,0.985576923076923,0.891522929806316,0.717143182264786,1.09986066293336,0.866259026516629
"JHUAPL-DMD",2024-12-07,93.8456407480574,158.217554649827,0.471153846153846,0.990384615384615,0.730176128095621,0.590994484640186,0.948894572721413,0.787858103386589
"JHUAPL-DMD",2024-12-14,140.662373478949,223.16474007862,0.341346153846154,0.961538461538462,0.653161600546592,0.526030283687742,0.825033749930335,0.706779388293195
"JHUAPL-DMD",2024-12-21,141.943669295734,212.268042708417,0.262820512820513,0.846153846153846,0.624811041332277,0.474612980559624,0.728108674419748,0.613575036546171
"JHUAPL-DMD",2024-12-28,181.350620589585,265.397080114779,0.125,0.634615384615385,0.685021074094163,0.544567941660841,0.789487531179169,0.701230774867995
"JHUAPL-DMD",2025-01-04,127.164510801344,190.210262425769,0.480769230769231,0.884615384615385,0.796985593629827,0.735461253915271,0.889365383560861,0.927662478272501
