"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"MOBS-GLEAM_FLUH",2025-01-04,175.43289428815,220.754901960784,0.264705882352941,0.529411764705882,0.701031378750669,0.59699749694611,0.699648092632665,0.659661998896771
"NEU_ISI-AdaptiveEnsemble",2024-12-28,176.67787826087,235.48,0.04,0.32,1.06619309616209,0.843139793224973,1.06068288139857,0.958306892601538
"NEU_ISI-AdaptiveEnsemble",2025-01-04,242.828441670254,321.455445544554,0.099009900990099,0.366336633663366,1.11094258736706,0.9460773996892,1.14615909991096,1.0806541329313
"NEU_ISI-FluBcast",2024-12-28,181.325956521739,201.92,0.04,0.12,0.949734349560345,0.751044839803793,0.808923159077539,0.730846752147892
"NEU_ISI-FluBcast",2025-01-04,220.964514712341,255.181818181818,0.0606060606060606,0.181818181818182,0.949902550317271,0.80893589370103,0.847265097869557,0.798842437993386
"NIH-Flu_ARIMA",2024-12-28,177.275115089514,212.352941176471,0,0.0980392156862745,1.0678853712129,0.844478035276584,0.962759390407251,0.869834873291812
"NIH-Flu_ARIMA",2025-01-04,211.479454390452,262.941176470588,0.0980392156862745,0.401960784313726,0.880033207058936,0.749435243226823,0.866888180060779,0.81734402723387
"OHT_JHU-nbxd",2024-12-28,195.835197826087,271.707115384615,0.0769230769230769,0.442307692307692,1.04160033396132,0.823691968519088,1.11029154051333,1.00312737645785
"OHT_JHU-nbxd",2025-01-04,299.253998202341,397.934230769231,0.0673076923076923,0.346153846153846,1.25832549564386,1.07158851089038,1.32886003668832,1.25291339644386
"PSI-PROF",2024-12-28,141.045924331104,208.440576923077,0.211538461538462,0.730769230769231,0.710278279586262,0.561684261451557,0.820611258690855,0.741406728760397
"PSI-PROF",2025-01-04,185.186606897993,255.626923076923,0.326923076923077,0.817307692307692,0.717115542505488,0.610694751866726,0.775566274583613,0.73124132596951
"PSI-PROF_beta",2024-12-28,146.27422583612,227.330384615385,0.153846153846154,0.846153846153846,0.741451041216931,0.586335514484562,0.897450590540998,0.810829609648034
"PSI-PROF_beta",2025-01-04,183.829206479933,258.190384615385,0.326923076923077,0.807692307692308,0.714271321698071,0.608272616775118,0.790167360972231,0.745007935118601
"SigSci-TSENS",2024-12-28,200.998081285444,234.739130434783,0.0652173913043478,0.152173913043478,1.14199043682264,0.903079924484111,1.01112622150744,0.913533389058833
"SigSci-TSENS",2025-01-04,245.001762759924,282.815217391304,0.0652173913043478,0.228260869565217,1.11272596542506,0.947596122344147,1.00803889621751,0.950427736810343
"Stevens-ILIForecast",2024-12-28,241.614531772575,342.846153846154,0.307692307692308,0.557692307692308,1.31974260487951,1.04364538749474,1.42390022141041,1.28646687948356
"Stevens-ILIForecast",2025-01-04,508.584418896321,572.25,0.0480769230769231,0.0961538461538462,2.20919504045591,1.88134789596489,1.9519626050165,1.84040457961054
"UGA_CEID-Walk",2024-12-28,330.902434874582,359.336673076923,0.0384615384615385,0.0384615384615385,1.77475402485409,1.40346598278215,1.47304936370002,1.3308721985922
"UGA_CEID-Walk",2025-01-04,433.868593783445,483.022394230769,0.0192307692307692,0.0769230769230769,1.81867972680984,1.54878551454723,1.59762005660829,1.50631331824858
"UGA_flucast-Copycat",2025-01-04,120.597165551839,166.961538461538,0.288461538461538,0.692307692307692,0.713401155748473,0.60753158447673,0.731738073204121,0.689917981799078
"UGA_flucast-INFLAenza",2024-12-28,165.636530100334,238.384615384615,0.0576923076923077,0.480769230769231,0.851982866264702,0.673743490067053,0.954140934879919,0.862048261967858
"UGA_flucast-INFLAenza",2025-01-04,228.860246969064,319.774038461538,0.144230769230769,0.548076923076923,0.902843914130493,0.768860814518025,1.01132187426818,0.953523087010029
"UGA_flucast-Scenariocast",2024-12-28,128.828244147157,198.634615384615,0.230769230769231,0.807692307692308,0.652167926696482,0.515730905444954,0.765374391355714,0.691501265382705
"UGA_flucast-Scenariocast",2025-01-04,169.027040133779,231.201923076923,0.442307692307692,0.798076923076923,0.67895343704725,0.578195947779862,0.72221830823169,0.680942287793951
"UGuelph-CompositeCurve",2024-12-28,59.379347826087,119,0,1,0.710600749927793,0.56193926927149,0.998134905960761,0.901795981535175
"UGuelph-CompositeCurve",2025-01-04,267.900861513688,363.796296296296,0.203703703703704,0.222222222222222,1.65242020379555,1.40719910045565,1.7752869023572,1.67382619770689
"UI_CompEpi-EpiGen",2024-12-28,306.151162207358,317.038461538462,0,0.0192307692307692,1.64158301485906,1.29815506092856,1.298397979359,1.1730779809692
